trial, condition, presented_words, recalled_words
141,chunking,"['D', 'K', 'D', 'N', 'A', 'A', 'S']","['D', 'K', 'D', 'N', 'A', 'A', 'S']"
142,chunking,"['N', 'E', 'T', 'F', 'P', 'S', 'C']","['N', 'E', 'T', 'F', 'P', 'S', 'C']"
143,chunking,"['S', 'R', 'Y', 'T', 'R', 'O', 'L']","['S', 'R', 'Y', 'T', 'R', 'O', 'L']"
144,chunking,"['B', 'R', 'B', 'C', 'D', 'M', 'E']","['B', 'R', 'B', 'C', 'D', 'M', 'E']"
145,chunking,"['N', 'O', 'N', 'P', 'L', 'A', 'G']","['N', 'O', 'N', 'P', 'L', 'A', 'G']"
146,chunking,"['U', 'S', 'A', 'U', 'K', 'M', 'S']","['N', 'A', 'U', 'C', 'K', 'M', 'S']"
147,chunking,"['D', 'I', 'Y', 'Y', 'O', 'L', 'O']","['D', 'I', 'Y', 'Y', 'O', 'L', 'O']"
148,chunking,"['4', 'K', 'F', 'O', 'M', 'O', 'G']","['K', 'F', 'K', 'O', 'O', 'M', 'G']"
149,chunking,"['D', 'L', 'C', 'D', 'V', 'D', 'D']","['D', 'L', 'C', 'D', 'V', 'D', 'D']"
150,chunking,"['D', 'V', 'D', 'F', 'R', 'S', 'M']","['D', 'V', 'D', 'F', 'R', 'S', 'M']"
151,chunking,"['H', 'A', 'C', 'K', 'W', 'I', 'F']","['H', 'A', 'C', 'K', 'W', 'I', 'F']"
152,chunking,"['M', 'C', 'N', 'P', 'L', 'M', 'A']","['M', 'C', 'N', 'P', 'L', 'M', 'A']"
153,chunking,"['W', 'P', 'G', 'I', 'F', 'R', 'A']","['W', 'P', 'G', 'I', 'F', 'R', 'A']"
154,chunking,"['S', 'R', 'Y', 'G', 'L', 'D', 'J']","['S', 'R', 'Y', 'G', 'L', 'D', 'J']"
155,chunking,"['M', 'P', '4', 'F', 'O', 'M', 'O']","['M', 'P', 'F', 'M', 'O', 'P']"
156,chunking,"['N', 'E', 'T', 'G', 'I', 'F', 'C']","['N', 'E', 'T', 'G', 'I', 'F', 'C']"
157,chunking,"['R', 'I', 'P', 'C', 'E', 'O', 'H']","['R', 'I', 'P', 'C', 'E', 'O', 'H']"
158,chunking,"['Z', 'I', 'P', 'P', 'N', 'G', 'B']","['Z', 'I', 'P', 'P', 'N', 'G', 'B']"
159,chunking,"['P', 'R', 'N', 'G', 'L', 'D', 'I']","['P', 'R', 'N', 'G', 'L', 'D', 'I']"
